week401
sg2ebh43c025f2wfcc9ta8vvp9eaaa95;结婚;trouwen
e8e7kkhe2yiu08net4dmc1hgobklg9hi;结;vastbinden
naraff3jtwsb6m9ya5kwbu2silsxn950;婚礼;trouwfeest
izviydw2vf3w6rffm8jxyn8n5gpjbd8j;离婚;scheiden
jl948ejcqrjlb9brti4pjj2g3eo95iux;离开;vertrekken, weggaan
wye58p26a19g09iy4tfmxnuwqatl0gqx;年级;jaar (niveau);我是四年级学生
d4epyszu51944736d7ckq0hoco7u8zo8;车库;garage
h325xcii91k3rxb6x8r019u9xrj2zxib;下大雨;hevig regenen
9atyq8kvyihggo37z0qe1lwtcmznc978;夏天;zomer
z1t8bgdiu3pkvt0rgf2eyo52uw6524d8;寺庙;tempel
ln651f0ez46d0qu5c06rzjgy8myh513b;找到;vinden

week402
kcfgobfsjqj8x83csewttghihr4tztk6;加泰罗尼亚;Catalonië
8cuip4hrsip7i52j2oy3hi7q0nxs0qne;主义;ideologie, gedachtegoed, -isme
jlp6biijoca5s4ydlvsa9sr0qkkhjvrc;法西斯主义;fascisme
1sqng2brjlnog091bizbhlwmde3s90zq;个人主义;individualisme
n3qtzsn1k0jeuts57j1mczbi5l7i7sml;法兰德斯;Vlaanderen
th5v315vu9stzg1qttrygybfm03y264z;不一定;niet noodzakelijk;beleefde manier om te zeggen dat je niet akkoord gaat
h58imwjz608vb7t911znix49bi33hmhz;看法;zienswijze
shnknn1658l1kc9bm7odtl65v3uqmibd;想法;denkwijze
l1uuugad599tqp4wx5aztzef5sgohfnw;密码;paswoord, wachtwoord
ffsankdsk1uodm5vv78ywy55dbvaqya3;火鸡;kalkoen
4v0z2vp68g30wkc0inqtlvnufwehlbpu;火车;trein
c3twklp4029dmib4601vuy0g4a2nnnxk;客车;bus, passagierstrein
vf5hpn522vbocj5w8i0ekq50jpeb0ji2;货车;vrachtwagen, goederentrein
l8jx8uyhuv0xe0b44yxpm0iong3uh8ve;下蛋;eieren leggen
r6uysuwhs9loblggl1orqhrngse8ioxm;安静;kalm, stil, vredevol
pmhc46agr22rm53i1t7h5lfn5t334plg;桥;brug
9w9nx5sd7cwfmc9rln4uph8imuq8sts7;竹;bamboe
7sjfm861qergdh1cbxxov1vrwxok56a3;借口;excuus
eielzabjd0yyaelp2uqbv33i48dljqvh;坏;slecht
5t11e17phi7dfj2xwqwfgwweta86azi8;氧气;zuurstof
ihqdqe38gdzurw8riigu36ltjcwt1qq2;鳄鱼;krokodil

week403
z6bm2mroehutis55t247igwvmenwz94x;软件;software
zc2ajn951eehcgb6rwsiiwspx7m8x6x7;男子汉;macho
oveve2iesj8chg5isztrq3oathxo14pb;像;lijken op
pmg370poxg6bq5rs2yu3zo8pcfwfgn0z;拼音;pinyin
zood7l1a3g320dj6nr5l9cydazscgs7b;微信;wechat
yqccy6iug5i7fma4irfm8gw2lhpiw75a;逻辑;logica
yra3rzohfxj6vrthx68ab9yjrvo3mmht;卡通;cartoon
crjfkov162izhn5i7zveddyaax7y8x3q;幽默;humor
